1776505047.410239 server started (1757): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1776505047.410269 on Linux 6.8.0-110-generic #110-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 19 15:09:20 UTC 2026
1776505047.410275 using libevent 2.1.12-stable poll
1776505047.410277 using ncurses 6.4 20240113
1776505047.410435 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1776505047.410437 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1776505047.410439 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1776505047.410446 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1776505047.410448 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1776505047.410449 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1776505047.410451 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1776505047.410453 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1776505047.410455 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1776505047.410457 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1776505047.410458 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1776505047.410460 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1776505047.410462 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1776505047.410463 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1776505047.410465 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1776505047.410467 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1776505047.410468 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1776505047.410470 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1776505047.410472 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1776505047.410474 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1776505047.410475 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1776505047.410477 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1776505047.410479 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1776505047.410480 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1776505047.410482 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1776505047.410484 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1776505047.410486 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1776505047.410487 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1776505047.410489 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1776505047.410491 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1776505047.410493 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1776505047.410494 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1776505047.410496 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1776505047.410498 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1776505047.410500 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1776505047.410501 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1776505047.410503 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1776505047.410505 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1776505047.410507 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1776505047.410508 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1776505047.410510 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1776505047.410512 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1776505047.410513 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1776505047.410515 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1776505047.410518 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1776505047.410520 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1776505047.410522 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1776505047.410524 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1776505047.410526 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1776505047.410527 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1776505047.410529 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1776505047.410531 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1776505047.410533 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1776505047.410535 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1776505047.410537 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1776505047.410538 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1776505047.410540 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1776505047.410542 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1776505047.410544 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1776505047.410545 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1776505047.410549 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1776505047.410551 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1776505047.410553 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1776505047.410555 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1776505047.410557 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1776505047.410558 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1776505047.410560 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1776505047.410562 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1776505047.410564 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1776505047.410565 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1776505047.410567 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1776505047.410569 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1776505047.410571 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1776505047.410573 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1776505047.410575 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1776505047.410576 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1776505047.410578 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1776505047.410580 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1776505047.410582 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1776505047.410583 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1776505047.410585 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1776505047.410587 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1776505047.410589 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1776505047.410591 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1776505047.410592 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1776505047.410594 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1776505047.410596 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1776505047.410598 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1776505047.410599 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1776505047.410601 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1776505047.410603 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1776505047.410605 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1776505047.410606 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1776505047.410608 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1776505047.410610 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1776505047.410612 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1776505047.410614 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1776505047.410615 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1776505047.410617 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1776505047.410619 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1776505047.410621 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1776505047.410623 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1776505047.410626 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1776505047.410662 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1776505047.410673 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1776505047.410676 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1776505047.410678 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1776505047.410679 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1776505047.410681 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1776505047.410683 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1776505047.410685 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1776505047.410687 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1776505047.410688 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1776505047.410690 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1776505047.410692 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1776505047.410706 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1776505047.410708 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1776505047.410710 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1776505047.410711 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1776505047.411009 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1776505047.411021 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1776505047.411023 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1776505047.411025 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1776505047.411027 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1776505047.411029 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1776505047.411030 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1776505047.411032 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1776505047.411034 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1776505047.411036 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1776505047.411038 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1776505047.411039 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1776505047.411041 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1776505047.411043 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1776505047.411045 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1776505047.411046 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1776505047.411048 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1776505047.411050 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1776505047.411052 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1776505047.411054 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1776505047.411055 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1776505047.411057 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1776505047.411059 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1776505047.411061 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1776505047.411062 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1776505047.411064 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1776505047.411066 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1776505047.411068 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1776505047.411069 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1776505047.411080 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1776505047.411082 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1776505047.411084 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1776505047.411086 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1776505047.411088 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1776505047.411089 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1776505047.411091 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1776505047.411093 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1776505047.411095 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1776505047.411096 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1776505047.411098 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1776505047.411100 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1776505047.411102 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1776505047.411118 yylex_token: end at WS
1776505047.411120 yylex_token: bind
1776505047.411123 yylex_token: end at WS
1776505047.411125 yylex_token: -N
1776505047.411127 yylex_token: end at WS
1776505047.411129 yylex_token: Send the prefix key
1776505047.411131 yylex_token: end at WS
1776505047.411133 yylex_token: C-b
1776505047.411135 yylex_token: end at WS
1776505047.411136 yylex_token: send-prefix
1776505047.411143 cmd_parse_build_commands 0:0: bind
1776505047.411153 cmd_parse_build_commands 0:1: -N
1776505047.411156 cmd_parse_build_commands 0:2: Send the prefix key
1776505047.411157 cmd_parse_build_commands 0:3: C-b
1776505047.411159 cmd_parse_build_commands 0:4 0:0: send-prefix
1776505047.411168 cmd_parse_build_commands 0:0: send-prefix
1776505047.411176 args_parse: flags end at 1 of 1
1776505047.411180 cmd_parse_build_commands: send-prefix
1776505047.411183 args_parse_flags: next -N
1776505047.411186 args_parse_flag_argument: -N = Send the prefix key
1776505047.411196 args_parse_flags: next C-b
1776505047.411199 args_parse: flags end at 3 of 5
1776505047.411201 args_parse: 3 = C-b (type STRING)
1776505047.411205 args_parse: 4 = send-prefix (type COMMANDS)
1776505047.415096 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1776505047.415135 cmdq_get_command: [bind-key/0x5ff2b05da730] group 2
1776505047.415140 cmdq_append <global>: [bind-key/0x5ff2b05da730]
1776505047.415150 yylex_token: end at WS
1776505047.415153 yylex_token: bind
1776505047.415157 yylex_token: end at WS
1776505047.415159 yylex_token: -N
1776505047.415163 yylex_token: end at WS
1776505047.415166 yylex_token: Rotate through the panes
1776505047.415168 yylex_token: end at WS
1776505047.415170 yylex_token: C-o
1776505047.415173 yylex_token: end at WS
1776505047.415175 yylex_token: rotate-window
1776505047.415183 cmd_parse_build_commands 0:0: bind
1776505047.415185 cmd_parse_build_commands 0:1: -N
1776505047.415188 cmd_parse_build_commands 0:2: Rotate through the panes
1776505047.415191 cmd_parse_build_commands 0:3: C-o
1776505047.415194 cmd_parse_build_commands 0:4 0:0: rotate-window
1776505047.415202 cmd_parse_build_commands 0:0: rotate-window
1776505047.415211 args_parse: flags end at 1 of 1
1776505047.415216 cmd_parse_build_commands: rotate-window
1776505047.415218 args_parse_flags: next -N
1776505047.415222 args_parse_flag_argument: -N = Rotate through the panes
1776505047.415224 args_parse_flags: next C-o
1776505047.415227 args_parse: flags end at 3 of 5
1776505047.415230 args_parse: 3 = C-o (type STRING)
1776505047.415234 args_parse: 4 = rotate-window (type COMMANDS)
1776505047.415244 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1776505047.415248 cmdq_get_command: [bind-key/0x5ff2b05dac00] group 10
1776505047.415251 cmdq_append <global>: [bind-key/0x5ff2b05dac00]
1776505047.415256 yylex_token: end at WS
1776505047.415258 yylex_token: bind
1776505047.415261 yylex_token: end at WS
1776505047.415263 yylex_token: -N
1776505047.415267 yylex_token: end at WS
1776505047.415269 yylex_token: Suspend the current client
1776505047.415272 yylex_token: end at WS
1776505047.415274 yylex_token: C-z
1776505047.415277 yylex_token: end at WS
1776505047.415279 yylex_token: suspend-client
1776505047.415283 cmd_parse_build_commands 0:0: bind
1776505047.415285 cmd_parse_build_commands 0:1: -N
1776505047.415288 cmd_parse_build_commands 0:2: Suspend the current client
1776505047.415291 cmd_parse_build_commands 0:3: C-z
1776505047.415294 cmd_parse_build_commands 0:4 0:0: suspend-client
1776505047.415298 cmd_parse_build_commands 0:0: suspend-client
1776505047.415305 args_parse: flags end at 1 of 1
1776505047.415308 cmd_parse_build_commands: suspend-client
1776505047.415310 args_parse_flags: next -N
1776505047.415313 args_parse_flag_argument: -N = Suspend the current client
1776505047.415315 args_parse_flags: next C-z
1776505047.415318 args_parse: flags end at 3 of 5
1776505047.415321 args_parse: 3 = C-z (type STRING)
1776505047.415324 args_parse: 4 = suspend-client (type COMMANDS)
1776505047.415331 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1776505047.415335 cmdq_get_command: [bind-key/0x5ff2b05dbd30] group 18
1776505047.415338 cmdq_append <global>: [bind-key/0x5ff2b05dbd30]
1776505047.415343 yylex_token: end at WS
1776505047.415345 yylex_token: bind
1776505047.415347 yylex_token: end at WS
1776505047.415349 yylex_token: -N
1776505047.415352 yylex_token: end at WS
1776505047.415355 yylex_token: Select next layout
1776505047.415846 yylex_token: end at WS
1776505047.415855 yylex_token: Space
1776505047.415860 yylex_token: end at WS
1776505047.415862 yylex_token: next-layout
1776505047.415870 cmd_parse_build_commands 0:0: bind
1776505047.415873 cmd_parse_build_commands 0:1: -N
1776505047.415875 cmd_parse_build_commands 0:2: Select next layout
1776505047.415878 cmd_parse_build_commands 0:3: Space
1776505047.415880 cmd_parse_build_commands 0:4 0:0: next-layout
1776505047.415886 cmd_parse_build_commands 0:0: next-layout
1776505047.415892 args_parse: flags end at 1 of 1
1776505047.415895 cmd_parse_build_commands: next-layout
1776505047.415897 args_parse_flags: next -N
1776505047.415899 args_parse_flag_argument: -N = Select next layout
1776505047.415902 args_parse_flags: next Space
1776505047.415903 args_parse: flags end at 3 of 5
1776505047.415905 args_parse: 3 = Space (type STRING)
1776505047.415908 args_parse: 4 = next-layout (type COMMANDS)
1776505047.415918 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1776505047.415922 cmdq_get_command: [bind-key/0x5ff2b05dc5e0] group 26
1776505047.415925 cmdq_append <global>: [bind-key/0x5ff2b05dc5e0]
1776505047.415929 yylex_token: end at WS
1776505047.415931 yylex_token: bind
1776505047.415933 yylex_token: end at WS
1776505047.415934 yylex_token: -N
1776505047.415937 yylex_token: end at WS
1776505047.415939 yylex_token: Break pane to a new window
1776505047.415940 yylex_token: end at WS
1776505047.415942 yylex_token: !
1776505047.415944 yylex_token: end at WS
1776505047.415945 yylex_token: break-pane
1776505047.415949 cmd_parse_build_commands 0:0: bind
1776505047.415950 cmd_parse_build_commands 0:1: -N
1776505047.415952 cmd_parse_build_commands 0:2: Break pane to a new window
1776505047.415954 cmd_parse_build_commands 0:3: !
1776505047.415956 cmd_parse_build_commands 0:4 0:0: break-pane
1776505047.415959 cmd_parse_build_commands 0:0: break-pane
1776505047.415961 args_parse: flags end at 1 of 1
1776505047.415964 cmd_parse_build_commands: break-pane
1776505047.415965 args_parse_flags: next -N
1776505047.415967 args_parse_flag_argument: -N = Break pane to a new window
1776505047.415969 args_parse_flags: next !
1776505047.415970 args_parse: flags end at 3 of 5
1776505047.415972 args_parse: 3 = ! (type STRING)
1776505047.415974 args_parse: 4 = break-pane (type COMMANDS)
1776505047.415980 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1776505047.415983 cmdq_get_command: [bind-key/0x5ff2b05d8320] group 34
1776505047.415984 cmdq_append <global>: [bind-key/0x5ff2b05d8320]
1776505047.415988 yylex_token: end at WS
1776505047.415989 yylex_token: bind
1776505047.415991 yylex_token: end at WS
1776505047.415992 yylex_token: -N
1776505047.415994 yylex_token: end at WS
1776505047.415996 yylex_token: Split window vertically
1776505047.415997 yylex_token: end at WS
1776505047.415998 yylex_token: "
1776505047.416000 yylex_token: end at WS
1776505047.416002 yylex_token: split-window
1776505047.416004 cmd_parse_build_commands 0:0: bind
1776505047.416006 cmd_parse_build_commands 0:1: -N
1776505047.416008 cmd_parse_build_commands 0:2: Split window vertically
1776505047.416009 cmd_parse_build_commands 0:3: "
1776505047.416011 cmd_parse_build_commands 0:4 0:0: split-window
1776505047.416014 cmd_parse_build_commands 0:0: split-window
1776505047.416017 args_parse: flags end at 1 of 1
1776505047.416020 cmd_parse_build_commands: split-window
1776505047.416021 args_parse_flags: next -N
1776505047.416023 args_parse_flag_argument: -N = Split window vertically
1776505047.416024 args_parse_flags: next "
1776505047.416026 args_parse: flags end at 3 of 5
1776505047.416027 args_parse: 3 = " (type STRING)
1776505047.416030 args_parse: 4 = split-window (type COMMANDS)
1776505047.416035 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1776505047.416037 cmdq_get_command: [bind-key/0x5ff2b05d8730] group 42
1776505047.416039 cmdq_append <global>: [bind-key/0x5ff2b05d8730]
1776505047.416042 yylex_token: end at WS
1776505047.416055 yylex_token: bind
1776505047.416057 yylex_token: end at WS
1776505047.416058 yylex_token: -N
1776505047.416060 yylex_token: end at WS
1776505047.416061 yylex_token: List all paste buffers
1776505047.416063 yylex_token: end at WS
1776505047.416064 yylex_token: #
1776505047.416066 yylex_token: end at WS
1776505047.416067 yylex_token: list-buffers
1776505047.416070 cmd_parse_build_commands 0:0: bind
1776505047.416071 cmd_parse_build_commands 0:1: -N
1776505047.416073 cmd_parse_build_commands 0:2: List all paste buffers
1776505047.416075 cmd_parse_build_commands 0:3: #
1776505047.416077 cmd_parse_build_commands 0:4 0:0: list-buffers
1776505047.416079 cmd_parse_build_commands 0:0: list-buffers
1776505047.416082 args_parse: flags end at 1 of 1
1776505047.416085 cmd_parse_build_commands: list-buffers
1776505047.416086 args_parse_flags: next -N
1776505047.416088 args_parse_flag_argument: -N = List all paste buffers
1776505047.416089 args_parse_flags: next #
1776505047.416091 args_parse: flags end at 3 of 5
1776505047.416092 args_parse: 3 = # (type STRING)
1776505047.416094 args_parse: 4 = list-buffers (type COMMANDS)
1776505047.416099 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1776505047.416101 cmdq_get_command: [bind-key/0x5ff2b05d9050] group 50
1776505047.416103 cmdq_append <global>: [bind-key/0x5ff2b05d9050]
1776505047.416113 yylex_token: end at WS
1776505047.416115 yylex_token: bind
1776505047.416116 yylex_token: end at WS
1776505047.416117 yylex_token: -N
1776505047.416119 yylex_token: end at WS
1776505047.416120 yylex_token: Rename current session
1776505047.416122 yylex_token: end at WS
